"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","ERROR","2021-05-10T15:38:41.628148+03:00[Europe/Bucharest]","0.0","1.41"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-10T15:38:43.789473+03:00[Europe/Bucharest]","0.0","0.34"
"Search by keyword story","Searching by keyword apple should display the corresponding article","ERROR","2021-05-10T15:38:44.2447177+03:00[Europe/Bucharest]","0.0","0.7"
"Search by keyword story","Searching by keyword banana should display the corresponding article","ERROR","2021-05-10T15:44:04.3235287+03:00[Europe/Bucharest]","0.0","1.54"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-10T15:44:07.3020505+03:00[Europe/Bucharest]","0.0","0.61"
"Search by keyword story","Searching by keyword apple should display the corresponding article","ERROR","2021-05-10T15:44:08.1348928+03:00[Europe/Bucharest]","0.0","1.17"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2021-05-10T18:01:40.715227+03:00[Europe/Bucharest]","0.0","9.44"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-10T18:01:51.2397241+03:00[Europe/Bucharest]","0.0","0.6"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2021-05-10T18:01:52.1187221+03:00[Europe/Bucharest]","0.0","3.52"
"Shop for product","Unsuccessful login","SUCCESS","2021-05-10T19:14:31.5526565+03:00[Europe/Bucharest]","0.0","5.67"
"Shop for product","Successful login","SUCCESS","2021-05-10T19:14:41.0523982+03:00[Europe/Bucharest]","0.0","1.51"
"Test successful login","Successful login","SUCCESS","2021-05-10T19:45:05.4936597+03:00[Europe/Bucharest]","0.0","7.01"
"Test unsuccessful login","Unsuccessful login","SUCCESS","2021-05-10T19:48:01.1310581+03:00[Europe/Bucharest]","0.0","5.5"
"Shop for product","Shop for product","SUCCESS","2021-05-10T19:48:15.8592413+03:00[Europe/Bucharest]","0.0","9.48"
"Test successful login","Successful login","SUCCESS","2021-05-10T19:50:20.585514+03:00[Europe/Bucharest]","0.0","6.71"
"Test unsuccessful login","Unsuccessful login","SUCCESS","2021-05-10T19:50:29.5076337+03:00[Europe/Bucharest]","0.0","5.42"
